Authors,Title,Year,Source title,Volume,Page start,Page end,DOI,Link,Author Keywords,Index Keywords,Source
"Brownlee M.T.J., Powell R.B., Hallo J.C.",A review of the foundational processes that influence beliefs in climate change: opportunities for environmental education research,2013,Environmental Education Research,19,1,20,10.1080/13504622.2012.683389,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874472408&doi=10.1080%2f13504622.2012.683389&partnerID=40&md5=d6e912c4488e8c050053f47f85a07cce,climate change; communication; environmental education; environmental psychology; interpretation,,Scopus
McKenzie M.,Education for Y'all: Global neoliberalism and the case for a politics of scale in sustainability education policy,2012,Policy Futures in Education,10,165,177,10.2304/pfie.2012.10.2.165,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866752446&doi=10.2304%2fpfie.2012.10.2.165&partnerID=40&md5=b577dbf81d1b5482e201c3bb94f5b988,,,Scopus
Pinto L.E.,Hidden privatization in education policy as 'quick fixes' by 'hired guns': Contracting curriculum policy in Ontario,2012,Critical Policy Studies,6,261,281,10.1080/19460171.2012.717782,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869389233&doi=10.1080%2f19460171.2012.717782&partnerID=40&md5=1be32faa469b8d0f72412acc62fa4fd7,curriculum policy; education policy; privatization,,Scopus
"Varma K., Linn M.C.",Using Interactive Technology to Support Students' Understanding of the Greenhouse Effect and Global Warming,2012,Journal of Science Education and Technology,21,453,464,10.1007/s10956-011-9337-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864282493&doi=10.1007%2fs10956-011-9337-9&partnerID=40&md5=7f41ee77820001e98e4728c26457df68,Greenhouse effect; Middle school students; Technology-enhanced instruction,,Scopus
"Arslan H.O., Cigdemoglu C., Moseley C.","A Three-Tier Diagnostic Test to Assess Pre-Service Teachers' Misconceptions about Global Warming, Greenhouse Effect, Ozone Layer Depletion, and Acid Rain",2012,International Journal of Science Education,34,1667,1686,10.1080/09500693.2012.680618,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864679322&doi=10.1080%2f09500693.2012.680618&partnerID=40&md5=5347f330db78f2138a98ffe5e2375dbf,Acid rain; Environmental education; Global warming; Misconceptions; Ozone layer depletion; Three-tier diagnostic assessment,,Scopus
"Ball S.J., Junemann C.","Networks, new governance and education",2012,"Networks, New Governance and Education",,1,167,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029042419&partnerID=40&md5=17505638ad04638746e6ebd3760951d0,,,Scopus
"Lambert J.L., Lindgren J., Bleicher R.",Assessing Elementary Science Methods Students' Understanding About Global Climate Change,2012,International Journal of Science Education,34,1167,1187,10.1080/09500693.2011.633938,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861533672&doi=10.1080%2f09500693.2011.633938&partnerID=40&md5=3f646cc56f4a45a51c070f3fe303a806,Climate change education; Teacher education,,Scopus
"Reinfried S., Aeschbacher U., Rottermann B.",Improving students conceptual understanding of the greenhouse effect using theory-based learning materials that promote deep learning,2012,International Research in Geographical and Environmental Education,21,155,178,10.1080/10382046.2012.672685,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860473070&doi=10.1080%2f10382046.2012.672685&partnerID=40&md5=59db09c29bb4d38ce4ab4eae092af738,active cognitive learning; conceptual development; greenhouse effect; in-depth learning; mental model building,cognition; conceptual framework; educational development; environmental education; global warming; greenhouse effect; learning; qualitative analysis; quantitative analysis; student,Scopus
Heimans S.,Coming to matter in practice: Enacting education policy,2012,Discourse,33,313,326,10.1080/01596306.2012.666083,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859584701&doi=10.1080%2f01596306.2012.666083&partnerID=40&md5=92ab493122e7ee4dfa2faa4beaa9656b,discourse; emergence; enactment; materiality; policy; practice,,Scopus
"Bellard C., Bertelsmeier C., Leadley P., Thuiller W., Courchamp F.",Impacts of climate change on the future of biodiversity,2012,Ecology Letters,15,365,377,10.1111/j.1461-0248.2011.01736.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858150265&doi=10.1111%2fj.1461-0248.2011.01736.x&partnerID=40&md5=513a2f4969dfc0221b7d4a6d26629cbf,Biodiversity; Climate change; Species extinctions,"biodiversity; biome; climate change; climate effect; extinction risk; future prospect; habitat loss; temporal period; biodiversity; climate change; ecosystem; environmental protection; population dynamics; theoretical model; Biodiversity; Climate Change; Conservation of Natural Resources; Ecosystem; Models, Theoretical; Population Dynamics",Scopus
"Lombardi D., Sinatra G.M.",College Students' Perceptions About the Plausibility of Human-Induced Climate Change,2012,Research in Science Education,42,201,217,10.1007/s11165-010-9196-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857922187&doi=10.1007%2fs11165-010-9196-z&partnerID=40&md5=d6900568203eb0b911c289291f2a9fb0,Climate change; Conceptual change; Misconceptions; Plausibility; Weather and climate distinctions,,Scopus
"Svihla V., Linn M.C.",A Design-based Approach to Fostering Understanding of Global Climate Change,2012,International Journal of Science Education,34,651,676,10.1080/09500693.2011.597453,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859343972&doi=10.1080%2f09500693.2011.597453&partnerID=40&md5=2280067355e31b05eb74c3f21cb5866f,Environmental education; Learning environment; Visualization,,Scopus
Rieckmann M.,Future-oriented higher education: Which key competencies should be fostered through university teaching and learning?,2012,Futures,44,127,135,10.1016/j.futures.2011.09.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856221251&doi=10.1016%2fj.futures.2011.09.005&partnerID=40&md5=41061fe95288b34b602a9a039ce6c808,Delphi study; Europe; Future of higher education; Higher Education for Sustainable Development; Key competencies; Latin America,empirical analysis; higher education; learning; sustainable development; teaching; university sector; Europe; Latin America,Scopus
"National Research Council, Division of Behavioral and Social Sciences and Education, Board on Science Education, Committee on a Conceptual Framework for New K-12 Science Education Standards","A framework for K-12 science education: Practices, crosscutting concepts, and core ideas",2012,"A Framework for K-12 Science Education: Practices, Crosscutting Concepts, and Core Ideas",,1,385,10.17226/13165,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024104952&doi=10.17226%2f13165&partnerID=40&md5=ff6b8698d6cebfff7938e6dd841081b3,,,Scopus
"Ambusaidi A., Boyes E., Stanisstreet M., Taylor N.",Omani students views about global warming: Beliefs about actions and willingness to act,2012,International Research in Geographical and Environmental Education,21,21,39,10.1080/10382046.2012.639154,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857327064&doi=10.1080%2f10382046.2012.639154&partnerID=40&md5=09b700198a31d42775b7e288722cf99b,climate change; environmental education; global warming; Oman; student attitudes,curriculum; environmental education; global warming; questionnaire survey; recycling; student; teaching; Oman,Scopus
"Alexandar R., Poyyamoli G.",Activity-Based Water Resources and Climate Change Education Among School Students in Puducherry,2012,Climate Change Management,,557,578,10.1007/978-3-642-22266-5_34,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056142244&doi=10.1007%2f978-3-642-22266-5_34&partnerID=40&md5=df0ddaa96db53d39a294786347db8aae,Active participation; Attitude and knowledge; Climate change; Environmental education; Local natural resources; Water resources,,Scopus
"Ball S.J., Maguire M., Braun A.",How schools do policy: Policy enactments in secondary schools,2012,How Schools Do Policy: Policy Enactments in Secondary Schools,,1,174,10.4324/9780203153185,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84909632839&doi=10.4324%2f9780203153185&partnerID=40&md5=4e75c8d4e3533c5f87755eb40888acf8,,,Scopus
Kopnina H.,Education for sustainable development (ESD): The turn away from 'environment' in environmental education?,2012,Environmental Education Research,18,699,717,10.1080/13504622.2012.658028,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867318805&doi=10.1080%2f13504622.2012.658028&partnerID=40&md5=9e22de5b0897d28cb7fda2924bc8be61,anthropocentrism; ecological justice; education for sustainable development (ESD); environmental education (EE); environmental ethics; sustainable development (SD),,Scopus
"Porter D., Weaver A.J., Raptis H.",Assessing students' learning about fundamental concepts of climate change under two different conditions,2012,Environmental Education Research,18,665,686,10.1080/13504622.2011.640750,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867290468&doi=10.1080%2f13504622.2011.640750&partnerID=40&md5=23ee9daaaa6d45e96b54ce51e13fcf9a,climate; environmental education; global warming; greenhouse effect; knowledge retention; middle school curriculum; science instruction,,Scopus
Bozdoǧana A.E.,"A collection of studies conducted in education about ""global warming"" problem",2011,Kuram ve Uygulamada Egitim Bilimleri,11,1618,1624,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-83455236399&partnerID=40&md5=f1982e8e68f975fd9c08daa92c719de7,Environment education; Global warming; Greenhouse effect,,Scopus
"Wan Nur'ashiqin W.M., Er A.C., Noraziah A., Novel L., Halimaton Saadiah H., Buang A.","Diagnosing knowledge, attitudes and practices for a sustainable campus",2011,World Applied Sciences Journal,13,93,98,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863895655&partnerID=40&md5=0fc06edefbe644c21f72ce10410213b9,Attitudes; Capacity building; Knowledge; Practices; Sustainable campus,,Scopus
"Nam Y., Ito E.",A climate change course for undergraduate students,2011,Journal of Geoscience Education,59,229,241,10.5408/1.3651405,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856154242&doi=10.5408%2f1.3651405&partnerID=40&md5=95f940dfab5b60ec60ed3ed372887489,,climate change; curriculum; environmental education; higher education; learning; nature-society relations; student; university sector,Scopus
"Westley F., Olsson P., Folke C., Homer-Dixon T., Vredenburg H., Loorbach D., Thompson J., Nilsson M., Lambin E., Sendzimir J., Banerjee B., Galaz V., Van Der Leeuw S.",Tipping toward sustainability: Emerging pathways of transformation,2011,Ambio,40,762,780,10.1007/s13280-011-0186-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80155184870&doi=10.1007%2fs13280-011-0186-9&partnerID=40&md5=9870ddbe628033fbf1cd04500d54d368,Innovation; Resilience transitions; Social-ecological systems; Sustainability; Transformation,biosphere; biotechnology; environmental economics; global perspective; incentive; information technology; innovation; institutional framework; nanotechnology; nature-society relations; risk assessment; sustainability; threshold; trend analysis; biotechnology; conference paper; environmental protection; information service; nanotechnology; Biotechnology; Conservation of Natural Resources; Information Services; Nanotechnology,Scopus
"Feierabend T., Jokmin S., Eilks I.",Chemistry teachers' views on teaching 'climate change' - an interview case study from research-oriented learning in teacher education,2011,Chemistry Education Research and Practice,12,85,91,10.1039/c1rp90011k,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054120958&doi=10.1039%2fc1rp90011k&partnerID=40&md5=034661ee4784475788266c6cf0c09ff8,Chemistry teachers' beliefs; Climate change; Pedagogic content knowledge (PCK); Research-oriented learning; Teacher education,,Scopus
Sterman J.D.,Communicating climate change risks in a skeptical world,2011,Climatic Change,108,811,826,10.1007/s10584-011-0189-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053322421&doi=10.1007%2fs10584-011-0189-3&partnerID=40&md5=2560428dbabda7ae2c3e410c9204afba,,Basic principles; Climate change risks; Climate policy; Complex dynamic systems; Different modes; Experiential learning; Feedback process; Interactive simulations; Intergovernmental panel on climate changes; Mental model; Multiple feedback; Policy makers; Public understanding; Regime shift; Risk communication; Short term; Space and time; Climate models; Communication; Feedback; Public risks; Risk assessment; Time delay; User interfaces; Climate change; climate change; environmental policy; Intergovernmental Panel on Climate Change; learning; nonlinearity; policy making; risk assessment; spatiotemporal analysis,Scopus
"McCright A.M., Dunlap R.E.",Cool dudes: The denial of climate change among conservative white males in the United States,2011,Global Environmental Change,21,1163,1172,10.1016/j.gloenvcha.2011.06.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052877044&doi=10.1016%2fj.gloenvcha.2011.06.003&partnerID=40&md5=594129eef00ea0712e71601c2cee2777,Climate change denial; Gender; Political ideology; Public opinion; Race,attitudinal survey; climate change; cognition; gender role; global warming; male behavior; multivariate analysis; political ideology; psychology; public attitude; racial identity; regression analysis; United States,Scopus
"Braun A., Ball S.J., Maguire M., Hoskins K.",Taking context seriously: Towards explaining policy enactments in the secondary school,2011,Discourse,32,585,596,10.1080/01596306.2011.601555,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052856680&doi=10.1080%2f01596306.2011.601555&partnerID=40&md5=73b3cdf805ec05554b8bc01745988e48,Policy enactment; Policy making; School context; Secondary schools,,Scopus
"Chhokar K., Dua S., Taylor N., Boyes E., Stanisstreet M.",Indian secondary students' views about global warming: Beliefs about the usefulness of actions and willingness to act,2011,International Journal of Science and Mathematics Education,9,1167,1188,10.1007/s10763-010-9254-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052262554&doi=10.1007%2fs10763-010-9254-z&partnerID=40&md5=f7c71dc22f0546ec86f93ccb95f026f9,attitude; behaviour; climate change; environmental education; global warming; India; student,,Scopus
Chen X.,"Why do people misunderstand climate change? Heuristics, mental models and ontological assumptions",2011,Climatic Change,108,31,46,10.1007/s10584-010-0013-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052269507&doi=10.1007%2fs10584-010-0013-5&partnerID=40&md5=f1456f38ea418ebab22f0e6d75f9e3ed,,Anthropogenic emissions; Atmospheric CO; Cognitive development; Current rate; Developmental psychology; Dynamic process; Mental blocks; Mental model; Unique features; Carbon dioxide; Climate models; Ontology; Pattern matching; Climate change; anthropogenic source; atmospheric chemistry; carbon dioxide; climate change; cognition; emission inventory; heuristics; perception; psychology,Scopus
"Çimer S.O., Çimer A., Ursavaş N.",Student teachers' conceptions about global warming and changes in their conceptions during pre-service education: A cross sectional study,2011,Educational Research and Reviews,6,592,597,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052790908&partnerID=40&md5=a26268395f9967034f75cbd0bb3ca0a3,biology student teachers.; Global warming; green house effect; ozone layer,,Scopus
"Iyengar R., Bajaj M.","After the smoke clears: Toward education for sustainable development in Bhopal, India",2011,Comparative Education Review,55,424,456,10.1086/660680,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960996054&doi=10.1086%2f660680&partnerID=40&md5=9347319c9327766afd1826d5f44d8420,,,Scopus
"Hallar A.G., McCubbin I.B., Wright J.M.","Change: A place-based curriculum for understanding climate change at Storm Peak Laboratory, Colorado",2011,Bulletin of the American Meteorological Society,92,909,918,10.1175/2011BAMS3026.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051727891&doi=10.1175%2f2011BAMS3026.1&partnerID=40&md5=5278cd777fda31be57c553042c289434,,Chemical compositions; Climate science; Educational materials; Environmental problems; Environmental science; Storm Peak Laboratory; Curricula; Geochemistry; Global warming; Greenhouse gases; Students; Teaching; Earth (planet),Scopus
"Wiek A., Withycombe L., Redman C.L.",Key competencies in sustainability: A reference framework for academic program development,2011,Sustainability Science,6,203,218,10.1007/s11625-011-0132-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959553859&doi=10.1007%2fs11625-011-0132-6&partnerID=40&md5=cd463b19f29793d700cbbcb3a1e33a32,Curriculum development; Education for sustainable development; Sustainability expertise; Sustainability professional; Transformative learning,,Scopus
"Hestness E., McGinnis R., Riedinger K., Marbach-Ad G.",A Study of Teacher Candidates' Experiences Investigating Global Climate Change Within an Elementary Science Methods Course,2011,Journal of Science Teacher Education,22,351,369,10.1007/s10972-011-9234-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955779147&doi=10.1007%2fs10972-011-9234-3&partnerID=40&md5=1a3b7ac86a4bb14939906b171e184c60,Elementary education; Global climate change; Science teacher education; Socioscientific issues,,Scopus
"Hursh D.W., Henderson J.A.",Contesting global neoliberalism and creating alternative futures,2011,Discourse,32,171,185,10.1080/01596306.2011.562665,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956189338&doi=10.1080%2f01596306.2011.562665&partnerID=40&md5=74f0a2eaa27ef14cada4a22d211c4b76,Critical geography; Democracy; Environmental sustainability; Neoliberalism,,Scopus
"Brundiers K., Wiek A.",Educating Students in Real-world Sustainability Research: Vision and Implementation,2011,Innovative Higher Education,36,107,124,10.1007/s10755-010-9161-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952185438&doi=10.1007%2fs10755-010-9161-9&partnerID=40&md5=bd7197c1f24fd21503e110d864161f18,Evaluation; Interface management; Participatory research; Sustainability research education; Transformative learning,,Scopus
"Rickinson M., Sebba J., Edwards A.",Improving research through user engagement,2011,Improving Research through User Engagement,,1,149,10.4324/9780203831304,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84909436834&doi=10.4324%2f9780203831304&partnerID=40&md5=cd6a77a4ebccbbf7c0522d9d31469ff8,,,Scopus
"Kennelly J., Taylor N., Serow P.",Education for sustainability and the australian curriculum,2011,Australian Journal of Environmental Education,27,209,218,10.1375/ajee.27.2.209,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881227692&doi=10.1375%2fajee.27.2.209&partnerID=40&md5=70c69260e769b5433c8e80de55aa8e14,Australian curriculum; education for sustainability; Education for Sustainability policy; initial teacher education program; teacher accreditation,,Scopus
"Mannion G., Biesta G., Priestley M., Ross H.",The global dimension in education and education for global citizenship: Genealogy and critique,2011,"Globalisation, Societies and Education",9,443,456,10.1080/14767724.2011.605327,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052972999&doi=10.1080%2f14767724.2011.605327&partnerID=40&md5=2d7cb10dbf8b8ebb1d9a2b3475c6a3be,Citizenship education; Development education; Education for global citizenship; Environmental education,,Scopus
Gough A.,The Australian-ness of curriculum Jigsaws: Where does environmental education fit?,2011,Australian Journal of Environmental Education,27,9,23,10.1017/S0814062600000045,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960851895&doi=10.1017%2fS0814062600000045&partnerID=40&md5=7a1ca9e386ee5ec64bb7585eec38ca10,Action plan; Curriculum; Education for sustainability; Environmental education; National goals; Policy,,Scopus
"Robelia B.A., Greenhow C., Burton L.",Environmental learning in online social networks: Adopting environmentally responsible behaviors,2011,Environmental Education Research,17,553,575,10.1080/13504622.2011.565118,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960566993&doi=10.1080%2f13504622.2011.565118&partnerID=40&md5=788fec06eec257c476e1398481dc4b23,Behavior change; Climate change; Informal education; Knowledge; Social learning,,Scopus
"Jóhannesson I.A., Norddahl K., Óskarsdóttir G., Pálsdóttir A., Pétursdóttir B.",Curriculum analysis and education for sustainable development in Iceland,2011,Environmental Education Research,17,375,391,10.1080/13504622.2010.545872,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956351360&doi=10.1080%2f13504622.2010.545872&partnerID=40&md5=dc0f817e94524870b251eab7de47d93e,Curriculum; Curriculum analysis; Education for sustainable development; Environmental education; Reorientation of education,,Scopus
"Shepardson D.P., Niyogi D., Choi S., Charusombat U.","Students' conceptions about the greenhouse effect, global warming, and climate change",2011,Climatic Change,104,481,507,10.1007/s10584-009-9786-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78651458940&doi=10.1007%2fs10584-009-9786-9&partnerID=40&md5=6d9da3686bee035c59a009317aac1fbe,,Global warming; Greenhouses; Students; Qualitative data; Science education; Greenhouse effect; data interpretation; educational development; environmental education; global warming; greenhouse effect; greenhouse gas; Intergovernmental Panel on Climate Change; literacy; student; Midwest; United States,Scopus
"Grima J., Leal Filho W., Pace P.",Perceived frameworks of young people on global warming and ozone depletion,2010,Journal of Baltic Science Education,9,35,49,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79751502703&partnerID=40&md5=a9be83c07142bd65d3490a507c86a110,Climate change; Cognitive frameworks; Learning processes; Misconceptions in learning; Ozone depletion,,Scopus
"Brundiers K., Wiek A., Redman C.L.",Real-world learning opportunities in sustainability: from classroom into the real world,2010,International Journal of Sustainability in Higher Education,11,308,324,10.1108/14676371011077540,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957149203&doi=10.1108%2f14676371011077540&partnerID=40&md5=1c6a1e67eba8c36fbd45084e8ff45845,Competences; Curricula; Experiential learning; Higher education; Problem solving; Sustainable development,,Scopus
"Braun A., Maguire M., Ball S.J.","Policy enactments in the UK secondary school: Examining policy, practice and school positioning",2010,Journal of Education Policy,25,547,560,10.1080/02680931003698544,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955947662&doi=10.1080%2f02680931003698544&partnerID=40&md5=b642ffaaff45e4194b9705a5638dfa75,Enactment; Personal learning and thinking skills; Policy; Secondary schools,,Scopus
"Choi S., Niyogi D., Shepardson D.P., Charusombat U.",Do earth and environmental science textbooks promote middle and high school students' conceptual development about climate change? Textbooks' consideration of students' misconceptions,2010,Bulletin of the American Meteorological Society,91,889,898,10.1175/2009BAMS2625.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955638796&doi=10.1175%2f2009BAMS2625.1&partnerID=40&md5=e10c772e31013b91fe972fe2fc31eef9,,Conceptual development; Environmental science; High school students; Literature reviews; Science textbook; Thin layers; Carbon dioxide; Earth (planet); Environmental engineering; Global warming; Greenhouse effect; Greenhouses; Sun; Textbooks; Students,Scopus
"Bangay C., Blum N.",Education responses to climate change and quality: Two parts of the same agenda?,2010,International Journal of Educational Development,30,359,368,10.1016/j.ijedudev.2009.11.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952421840&doi=10.1016%2fj.ijedudev.2009.11.011&partnerID=40&md5=592423396f41bd2045f6158f5042df7c,Climate change; Education for sustainable development; Quality,academic research; climate change; educational development; environmental education; geographical knowledge; sustainable development,Scopus
Viertel E.,Vocational education for sustainable development: An obligation for the European Training Foundation,2010,European Journal of Education,45,217,235,10.1111/j.1465-3435.2010.01426.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953965908&doi=10.1111%2fj.1465-3435.2010.01426.x&partnerID=40&md5=5d2e575676d85d0c4e2d514c82328737,,,Scopus
"Sahlberg P., Oldroyd D.",Pedagogy for economic competitiveness and sustainable development,2010,European Journal of Education,45,280,299,10.1111/j.1465-3435.2010.01429.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953090885&doi=10.1111%2fj.1465-3435.2010.01429.x&partnerID=40&md5=a400f47e8e9761038570b76c01c8c591,Competitiveness; Education policy; Sustainability; Teaching,,Scopus
"Clothey R., Mills M., Baumgarten J.",A closer look at the impact of globalization on science education,2010,Cultural Studies of Science Education,5,305,313,10.1007/s11422-010-9258-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951946419&doi=10.1007%2fs11422-010-9258-6&partnerID=40&md5=6d7d2912fedd4d2d504e31187fcb9960,Globalisation; Learner-centred pedagogy; Science education,,Scopus
"Klosterman M.L., Sadler T.D.",Multi-level assessment of scientific content knowledge gains associated with socioscientific issues-based instruction,2010,International Journal of Science Education,32,1017,1043,10.1080/09500690902894512,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952054113&doi=10.1080%2f09500690902894512&partnerID=40&md5=f6ed1417a4dc66fb82e86fd96332210f,Assessment; Chemistry education; Curriculum; Environmental education; Socioscientific issues,,Scopus
"McNeill K.L., Pimentel D.S.",Scientific discourse in three urban classrooms: The role of the teacher in engaging high school students in argumentation,2010,Science Education,94,203,229,10.1002/sce.20364,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951995869&doi=10.1002%2fsce.20364&partnerID=40&md5=2e61c4a2b2ef2cbfba3da207b565cabf,,,Scopus
"Renton Z., Butcher J.",Securing a sustainable future for children and young people,2010,Children and Society,24,160,166,10.1111/j.1099-0860.2009.00280.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-76749113952&doi=10.1111%2fj.1099-0860.2009.00280.x&partnerID=40&md5=7093b02bc73dd2320cda442042a11e81,Climate; Environment; Participation; Sustainable; Well-being,,Scopus
Sterling S.,"Learning for resilience, or the resilient learner? towards a necessary reconciliation in a paradigm of sustainable education",2010,Environmental Education Research,16,511,528,10.1080/13504622.2010.505427,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960187462&doi=10.1080%2f13504622.2010.505427&partnerID=40&md5=70d7f2d502fe82642aa191b591c238d8,Environmental education; Resilience; Sustainability; Sustainable education,,Scopus
"Breiting S., Wickenberg P.",The progressive development of environmental education in Sweden and Denmark,2010,Environmental Education Research,16,9,37,10.1080/13504620903533221,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956360483&doi=10.1080%2f13504620903533221&partnerID=40&md5=bb6e39145b31b3cfc1dec55649d92362,Democracy; Education for sustainable development; Esd; General education; New education; School education,,Scopus
Wise S.B.,"Climate change in the classroom: Patterns, motivations, and barriers to instruction among Colorado science teachers",2010,Journal of Geoscience Education,58,297,309,10.5408/1.3559695,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650271183&doi=10.5408%2f1.3559695&partnerID=40&md5=058d3f22430669aeca86ec68c1f9ccc2,,climate change; curriculum; environmental education; learning; student; teaching; Colorado; United States,Scopus
Boon H.J.,Climate change? Who knows? A comparison of secondary students and pre-service teachers,2010,Australian Journal of Teacher Education,35,104,120,10.14221/ajte.2010v35n1.9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955495731&doi=10.14221%2fajte.2010v35n1.9&partnerID=40&md5=1e9b6e31503f57f40faa7cc2a9619bab,,,Scopus
"Hai L.T., Hai P.H., Dung T.A., Hens L.","Influencing factors on sustainable development: A case study in Quang Tri province, Vietnam",2010,"Environment, Development and Sustainability",12,103,116,10.1007/s10668-008-9183-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-73649098326&doi=10.1007%2fs10668-008-9183-y&partnerID=40&md5=6aa71d0119dbf2ca732591feca2cd595,Age; Attitude; Education; Gender; Income; Knowledge; Occupation; Practice; Quang Tri; Sustainable development; Vietnam,demography; environmental issue; local participation; multivariate analysis; public attitude; socioeconomic conditions; sustainable development; traditional knowledge; willingness to pay; Quang Tri; Viet Nam,Scopus
"Hägglund S., Samuelsson I.P.",Early childhood education and learning for sustainable development and citizenship,2009,International Journal of Early Childhood,41,49,63,10.1007/BF03168878,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951904122&doi=10.1007%2fBF03168878&partnerID=40&md5=e956a601171417e7e4d49ccd6ae71b72,Early childhood education; Education for sustainabel development (ESD),,Scopus
"Ciegis R., Ramanauskiene J., Martinkus B.",The concept of sustainable development and its use for sustainability scenarios [Darnaus vystymosi samprata ir jos naudojimas darnumo scenarijams],2009,Engineering Economics,2,28,37,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349794681&partnerID=40&md5=98812dea57c66d345b9cb8204d696280,Dimensions of sustainability; Sustainability policy; Sustainable development,,Scopus
"Wiek A., Walter A.I.",A transdisciplinary approach for formalized integrated planning and decision-making in complex systems,2009,European Journal of Operational Research,197,360,370,10.1016/j.ejor.2008.06.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-59649127610&doi=10.1016%2fj.ejor.2008.06.013&partnerID=40&md5=a17b89269cc85e56157baa3802a3366c,Competition for scarce resources; Conflicts; Scenarios; Strategic planning; Transdisciplinarity,Competition; Decision support systems; Integrated control; Operating rooms; Strategic planning; Cognitive skills; Competition for scarce resources; Complex systems; Conflicts; Decision supports; Decision-makers; Integrated approaches; Integrated planning; Learning process; Methodological contributions; Methodological frameworks; Operational researches; Optimal development; Regional economies; Scenarios; Step by steps; Strategic challenges; Transdisciplinarity; Planning,Scopus
