Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Meadows G., Wiesenmayer R.L.",25122963000;8879283000;,Identifying and addressing students' alternative conceptions of the causes of global warming: The need for cognitive conflict,1999,Journal of Science Education and Technology,8,3,,235,239,,39,10.1023/A:1009412414470,https://www.scopus.com/inward/record.uri?eid=2-s2.0-2142675268&doi=10.1023%2fA%3a1009412414470&partnerID=40&md5=3e1b8255384e27cc4ae55a67d198c7d3,"Mary Washington College, 1301 College Avenue, Fredericksburg, VA 22401-5358, United States; West Virginia University, 609 Allen Hall, Morgantown, WV 26506-6122, United States","Meadows, G., Mary Washington College, 1301 College Avenue, Fredericksburg, VA 22401-5358, United States; Wiesenmayer, R.L., West Virginia University, 609 Allen Hall, Morgantown, WV 26506-6122, United States","School-age children are frequently exposed to issues related to global warming/global climatic change. Yet, their conceptions regarding the scope and nature of this phenomenon are often incomplete or even inconstant with predominant scientific understandings. The complex conceptual knowledge required to understand issues related to global warming create learning situations that harbor the development of incomplete or inaccurate ideas related to global warming. This study presents some of those misconceptions and discusses strategies for mitigation. © 1999 Plenum Publishing Corporation.",Climatic change; Global warming; Misconceptions; Ozone layer,,,,,,,,,,"Meadows, G.; Mary Washington College, 1301 College Avenue, Fredericksburg, VA 22401-5358, United States",,,Springer Science and Business Media Deutschland GmbH,,,,,10590145,,,,English,J. Sci. Educ. Technol.,Article,Final,,Scopus,2-s2.0-2142675268
"Koulaidis V., Christidou V.",6506443385;6507463088;,Models of students' thinking concerning the greenhouse effect and teaching implications,1999,Science Education,83,5,,559,576,,84,10.1002/(sici)1098-237x(199909)83:5<559::aid-sce4>3.0.co;2-e,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033196325&doi=10.1002%2f%28sici%291098-237x%28199909%2983%3a5%3c559%3a%3aaid-sce4%3e3.0.co%3b2-e&partnerID=40&md5=b537fc626b7cfa7162ae1b43486ef927,"Department of Education, University of Patras, Patras 26500, Greece","Koulaidis, V., Department of Education, University of Patras, Patras 26500, Greece; Christidou, V., Department of Education, University of Patras, Patras 26500, Greece","Individual, semistructured interviews were used for the study of 40 primary school students' (ages between 11 and 12 years) conceptions concerning the greenhouse effect. Analysis of the data led to the formation of seven distinct models of thinking regarding this environmental phenomenon. The inferred models are differentiated according to the following criteria: (a) the position and distribution of the greenhouse gases; (b) the existence of connections between the greenhouse effect and the ozone layer, or its depletion; and (c) the types of radiation considered to be involved in the greenhouse effect. However, children's models involve a common core of beliefs, according to which the greenhouse effect is due to solar radiation that heats up the earth and the atmosphere, while getting trapped by certain atmospheric gases, and severely changes the climate, melts the polar ice, and raises the sea level. Furthermore, the alternative conceptions involved in students' models are systematically examined to establish their teaching implications. The main teaching implications discussed here concern: (a) the concept of uniform diffusion of atmospheric gases; (b) the conceptual distinction between ultraviolet and other forms of solar radiation; (c) the conceptual distinction between sunlight and terrestrial radiation; and (d) the conceptual distinction between the roles of the ozone layer and greenhouse gases in the atmosphere. These teaching implications might consititute a valuable research tool for the determination of appropriate educational goals and conditions. © 1999 John Wiley & Sons, Inc. ScI Ed 83:559-576, 1999.",,,,,,,,,,,"Koulaidis, V.; Department of Education, , Patras 26500, Greece; email: koulaidi@upatras.gr",,,Wiley-Liss Inc.,,,,,368326,,,,English,Sci. Educ.,Review,Final,,Scopus,2-s2.0-0033196325
"Mansaray A., Ajiboye J.O., Audu U.F.",6506690888;24472904100;57208637920;,Environmental knowledge and attitudes of some nigerian secondary school teachers,1998,Environmental Education Research,4,3,,329,339,,19,10.1080/1350462980040307,https://www.scopus.com/inward/record.uri?eid=2-s2.0-7044255218&doi=10.1080%2f1350462980040307&partnerID=40&md5=4d696d977be3781287375ec578a3cd43,"University of Ibadan, Nigeria; Federal College of Education, Katsina, Nigeria","Mansaray, A., University of Ibadan, Nigeria; Ajiboye, J.O., University of Ibadan, Nigeria; Audu, U.F., Federal College of Education, Katsina, Nigeria","Summary: Nigerian secondary school teachers (n–360) of three subject groupings (arts, sciences and social sciences) were administered an environmental knowledge and attitude scale. The teachers generally demonstrated a low level of environmental knowledge, although the science and social science teachers were found to be more knowledgeable than their arts counterparts. Negative environmental attitudes were also found to be prevalent among the three categories of teachers. The study revealed that most of the teachers have never heard of environmental education and have never attended any workshop or seminar on teaching of the subject. © 1998, Taylor & Francis Group, LLC.",,,,,,,,,,,"Mansaray, A.; Social Studies Unit, , Ibadan, Nigeria",,,,,,,,13504622,,,,English,Environ. Educ. Res.,Article,Final,,Scopus,2-s2.0-7044255218
"Boyes E., Stanisstreet M.",18338544000;57197397883;,High school students’ perceptions of how major global environmental effects might cause skin cancer,1998,Journal of Environmental Education,29,2,,31,36,,45,10.1080/00958969809599110,https://www.scopus.com/inward/record.uri?eid=2-s2.0-5544254285&doi=10.1080%2f00958969809599110&partnerID=40&md5=c789e57f97d6f2b595561f37342b0929,"University of Liverpool, United Kingdom","Boyes, E., University of Liverpool, United Kingdom; Stanisstreet, M., University of Liverpool, United Kingdom","In this investigation the dominant beliefs of students aged 13–14 years about the possible links between increases in skin cancer and global environmental effects are quantified. The results indicate that a high proportion of students were aware that depletion of the ozone layer leads to a higher penetration of ultraviolet (UV) rays, which, in turn, may cause an increase in the incidence of skin cancer. However, a large proportion of these students confused the action of heat rays with that of UV rays; they also thought that raised temperatures (i.e., the greenhouse effect) are culpable. Only 1 in 10 of the students exclusively held the scientifically correct model: that ozone depletion, via higher penetration of UV rays, may lead to skin cancer. © 1998 Taylor & Francis Group, LLC.",,,,,,,,,,,,,,,,,,,958964,,,,English,J. Environ. Educ.,Article,Final,,Scopus,2-s2.0-5544254285
Singh M.,56416831300;,Critical literacy strategies for environmental educators,1998,Environmental Education Research,4,3,,341,354,,11,10.1080/1350462980040308,https://www.scopus.com/inward/record.uri?eid=2-s2.0-2542596111&doi=10.1080%2f1350462980040308&partnerID=40&md5=1e38aa819aa056328eb49fdf6cc39b5b,"Central Queensland University, Australia","Singh, M., Central Queensland University, Australia","Summary: This paper seeks to extend the range of critical literacy strategies that environmental educators might use in their engagement with curriculum policies. The paper focuses on a recent curriculum and professional development project from Australia as the context to illuminate and explicate particular critical reading strategies. Specifically, the paper introduces several critical reading strategies by applying them to an evaluation of the Global Education Project's review of global perspectives in curriculum policies from around Australia. © 1998, Taylor & Francis Group, LLC.",,,,,,,,,,,"Singh, M.; Chancellery Central Queensland University, Rockhampton, QLD, 4702, Australia",,,,,,,,13504622,,,,English,Environ. Educ. Res.,Article,Final,,Scopus,2-s2.0-2542596111
"Scott W., Reid A.",57210240815;7202690816;,The revisioning of environmental education: A critical analysis of recent policy shifts in England and Wales,1998,Educational Review,50,3,,213,223,,11,10.1080/0013191980500301,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040122147&doi=10.1080%2f0013191980500301&partnerID=40&md5=6ff140a4118391983e6c9babb2178cbc,"Department of Education, University of Bath, Bath BAZ 7AY, United Kingdom","Scott, W., Department of Education, University of Bath, Bath BAZ 7AY, United Kingdom; Reid, A.","Environmental education within both the formal and informal education sectors across England and Wales has been developed over the last 25 years, although some of its provision remains problematical and its effectiveness remains largely unproven. The formal schools sector has seen attempts to stimulate and steer practice in schools, both by means of free-standing activities whose purpose was to help develop the field, partly in the light of European and wider international activity, and also through activities tied to specific national educational initiatives, for example, the development of the National Curriculum. This paper looks at recent policy shifts and argues, firstly, that such policy changes amount to an attempt to revision environmental education in schools and, secondly, that the policy is both under-theorised and lacks important elements of support, which will render it largely ineffective.",,,,,,,European Commission,"European Union, various other inter-governmental bodies and ENGOs (environmental non-governmental organisations). Currently, the support for environmental education in schools throughout the UK remains strongly eclectic, with initiatives stemming from subject associations, local Agenda 21, the school grounds movements, agencies for the 'greening' of schools, local and national environmental NGOs (non-governmental organisations), central government and, increasingly with the support of European Union initiatives, through its various intervention programmes.",,,"Scott, W.; Department of Education, , Bath BAZ 7AY, United Kingdom",,,Carfax Publishing Company,,,,,131911,,,,English,Educ. Rev.,Article,Final,,Scopus,2-s2.0-0040122147
Mebratu D.,14627675800;,Sustainability and sustainable development: Historical and conceptual review,1998,Environmental Impact Assessment Review,18,6,,493,520,,529,10.1016/S0195-9255(98)00019-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032209169&doi=10.1016%2fS0195-9255%2898%2900019-5&partnerID=40&md5=9dcd98d4d34fbb15aa8a18a270cbc0c4,"Intl. Inst. Indust. Environ. Econ., Lund University, P.O. Box 196, S-221 00 Lund, Sweden","Mebratu, D., Intl. Inst. Indust. Environ. Econ., Lund University, P.O. Box 196, S-221 00 Lund, Sweden","The vagueness of the concept of sustainable development, coupled with its increasing importance in national, international and corporate policies, has led to a large political battle for influence over our future by linking interpretation to the concept. This has resulted in a wide variety of definitions and interpretations that are skewed towards institutional and group prerogatives rather than compounding the essence of the concept, which has been inherent in traditional beliefs and practices. A systematic analysis of representative definitions and interpretations presented in this article reveals that most of the contemporary definitions focus on specific elements while failing to capture the whole spectrum. Such a historical and conceptual analysis focusing on the analysis of the metaphorical and epistemological basis of the different definitions is believed to be the first step towards developing a concrete body of theory on sustainability and sustainable development.The vagueness of the concept of sustainable development, coupled with its increasing importance in national, international and corporate policies, has led to a large political battle for influence over our future by linking interpretation to the concept This has resulted in a wide variety of definitions and interpretations that are skewed towards institutional and group prerogatives rather than compounding the essence of the concept, which has been inherent in traditional beliefs and practices. A systematic analysis of representative definitions and interpretations presented in this article reveals that most of the contemporary definitions focus on specific elements while failing to capture the whole spectrum. Such a historical and conceptual analysis focusing on the analysis of the metaphorical and epistemological basis of the different definitions is believed to be the first step towards developing a concrete body of theory on sustainability and sustainable development.",,Economic and social effects; Laws and legislation; Regulatory compliance; Sustainable development; Environmental policy; Environmental engineering; conceptual framework; sustainability; sustainable development,,,,,,,,,"Mebratu, D.; Intl. Inst. for Indust. Envtl. Econ., P.O. Box 196, S-221 00 Lund, Sweden; email: desta.mebratu@iiiee-lu.se",,,"Elsevier Science Inc, New York",,,,,1959255,,EIARD,,English,Environ. Impact Assess. Rev.,Article,Final,,Scopus,2-s2.0-0032209169
"Mason L., Santi M.",7102841222;55440500600;,Discussing the greenhouse effect: Children's collaborative discourse reasoning and conceptual change,1998,Environmental Education Research,4,1,,67,85,,62,10.1080/1350462980040105,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0013307241&doi=10.1080%2f1350462980040105&partnerID=40&md5=79b8d0d0a996e8d57796a4e007f3c734,"University of Padova, Italy","Mason, L., University of Padova, Italy; Santi, M., University of Padova, Italy","Summary: In environmental education the construction of appropriate knowledge is not enough, but is undoubtedly a fundamental component of individual and collective environmental responsiveness. The aim of this study was to investigate fifth graders' changes of conceptions about the greenhouse effect and global warming, due to socio-cognitive interaction developed in small and large group discussions in an authentic classroom context during the implementation of an environmental education curriculum unit. We hypothesized that a classroom transformed into a community of discoursei.e. a learning environment which stimidates and supports giving verbal explanations, comparing and critically evaluating different points of view on the examined environmental phenomenon, would be a fruitful breeding ground for knowledge revision. The results show that classroom discussions, the core of the proposed learning activity, led the children, although at different levels, to the integration of new scientific knowledge into their conceptual ecology, based on the personal revision of pre-instructional conceptions. As hypothesized, a high positive correlation was found between conceptual change and metaconceptual awareness of the changes in pre-existing representations of the examined phenomenon. Some implications are drawn from the standpoint of environmental education. © 1998, Taylor & Francis Group, LLC.",,,,,,,,,,,"Mason, L.; Department of Educational Sciences, Piazza Capitaniato 3, Padua, 35139, Italy; email: lmason@uxl.unipd.it",,,,,,,,13504622,,,,English,Environ. Educ. Res.,Article,Final,,Scopus,2-s2.0-0013307241
Vare P.,56012073000;,ECoSA: A report on a pan-African environmental education survey,1998,Environmental Education Research,4,1,,5,24,,3,10.1080/1350462980040101,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0007637165&doi=10.1080%2f1350462980040101&partnerID=40&md5=4560611c4c38ffea54d6f6cda6e23664,"International Centre for Conservation Education, Cheltenham, United Kingdom","Vare, P., International Centre for Conservation Education, Cheltenham, United Kingdom","Summary: The Education and Communication for Sustainability in Africa (ECoSA) survey set out to provide an overall picture of environmental education provision in Africa in order to identify areas where European Union support could best assist the environmental education process. The survey gathered information through questionnaires, semi-structured interviews at grass rodts level, country visits and a consultative workshop. A principal product of the survey was a databank with over 300 African organisations involved in environmental education. The Final Report reviews environmental education provision in different sectors as well as suggesting a number of guiding principles and proposing priority areas for European assistance. © 1998, Taylor & Francis Group, LLC.",,,,,,,,,,,"Vare, P.; International Centre for Conservation Education, Greenfield House, Guiting Power, Cheltenham, GL54 5TZ, United Kingdom",,,,,,,,13504622,,,,English,Environ. Educ. Res.,Article,Final,,Scopus,2-s2.0-0007637165
Nickerson R.S.,55952012800;,Confirmation bias: A ubiquitous phenomenon in many guises,1998,Review of General Psychology,2,2,,175,220,,2832,10.1037/1089-2680.2.2.175,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000245521&doi=10.1037%2f1089-2680.2.2.175&partnerID=40&md5=0b55f85198a36ca46441fcf51ad82038,"Tufts University, United States; Department of Psychology, Paige Hall, Tufts University, Medford, MA 02155, United States","Nickerson, R.S., Tufts University, United States, Department of Psychology, Paige Hall, Tufts University, Medford, MA 02155, United States","Confirmation bias, as the term is typically used in the psychological literature, connotes the seeking or interpreting of evidence in ways that are partial to existing beliefs, expectations, or a hypothesis in hand. The author reviews evidence of such a bias in a variety of guises and gives examples of its operation in several practical contexts. Possible explanations are considered, and the question of its utility or disutility is discussed.",,,,,,,,,,,"Nickerson, R.S.; Department of Psychology, , Medford, MA 02155, United States; email: rnickerson@infonet.tufts.edu",,,American Psychological Association Inc.,,,,,10892680,,,,English,Rev. Gen. Psychol.,Article,Final,"All Open Access, Green",Scopus,2-s2.0-0000245521
Gough A.,7005817093;,Founders of environmental education: Narratives of the Australian environmental education movement,1997,Environmental Education Research,3,1,,43,57,,8,10.1080/1350462970030104,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968800274&doi=10.1080%2f1350462970030104&partnerID=40&md5=70fa283d4ebc8e5c76dfc2f91163d76f,"Faculty of Education, Deakin University, Clayton, VIC, Australia","Gough, A., Faculty of Education, Deakin University, Clayton, VIC, Australia","Summary: The environmental education movement in Australia and elsewhere is nearly three decades old. The discourses which frame the movement, the ‘goals, objectives and guiding principles’ did not come out of the air; they were proposed by people who have become the founders’ of the movement. The influence of one of these founders is discussed and the statements which he proposed are analysed in terms of their roots in an environmentalism of a rational science variety and an instrumentalist view of education. Attention is also drawn to the colonial domination implicit in the founda-tional discourses of the movement and the need to be aware of these and other contexts of their development over two decades ago is discussed. While it is important to celebrate the founders and foundations, that these foundational statements continue to be endorsed without modification is considered to be a serious impediment to the future development of the field. © 1997, Taylor & Francis Group, LLC.",,,,,,,,,,,"Gough, A.; Faculty of Education, (Rusden Campus) 662 Blackburn Road, Clayton, VIC, 3168, Australia",,,,,,,,13504622,,,,English,Environ. Educ. Res.,Article,Final,,Scopus,2-s2.0-84968800274
"Adedayo A., Olawepo J.A.",6506778135;57208636690;,Integration of environmental education in social science curricula at the secondary school level in Nigeria: Problems and prospects,1997,Environmental Education Research,3,1,,83,93,,4,10.1080/1350462970030107,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053630506&doi=10.1080%2f1350462970030107&partnerID=40&md5=69085beb897ee941a1e86dfc00b9a8ec,"Department of Geography, University of Ilorin, Nigeria; Department of Curriculum Studies and Educational Technology, University of llorin, Nigeria","Adedayo, A., Department of Geography, University of Ilorin, Nigeria; Olawepo, J.A., Department of Curriculum Studies and Educational Technology, University of llorin, Nigeria","Summary: Nigeria is one of the developing world countries that are committing themselves to the importance of environmental education (EE) as a means of improving the environment, which has suffered from considerable pollution and degradation. As part of the strategies’ for raising the level of awareness and engendering attitudes amongst the population through the formal school system, the Federal government has designed curricula with strong EE elements for a brand new subject called citizenship education to be introduced at the primary and secondary levels. As a response to this situation, this paper examines the existing elements in and the various approaches to integrating EE in social science with reference to Nigeria. This is followed by an analysis of the constraints and the support systems which are likely to be helpful to EE at the secondary school level. Some measures and guidelines that could enhance the effective integration of EE at the secondary school, if practised, are suggested. © 1997, Taylor & Francis Group, LLC.",,,,,,,,,,,"Adedayo, A.; Department of Geography, PMB 1515, Ilorin, Nigeria",,,,,,,,13504622,,,,English,Environ. Educ. Res.,Article,Final,,Scopus,2-s2.0-80053630506
Pace P.,24166819300;,Environmental education in Malta: Trends and challenges,1997,Environmental Education Research,3,1,,69,82,,11,10.1080/1350462970030106,https://www.scopus.com/inward/record.uri?eid=2-s2.0-42649089412&doi=10.1080%2f1350462970030106&partnerID=40&md5=f490718b0d418c01976e4d765a6511b3,"Department of Mathematics, Science and Technical Education, University of Malta, Malta","Pace, P., Department of Mathematics, Science and Technical Education, University of Malta, Malta","Summary: The development of environmental education in Malta followed three major evolutionary stages: the Awareness Stage, the Fragmentary Stage and the Co-ordinated Stage. This paper analyses the main events that have characterised this evolutionary process. Besides highlighting the problems environmental education initiatives characteristically face in similar small island states, the historical analysis identifies emerging trends in the development of environmental education in Malta. Among these trends is the move to educate the general public on environmental issues and the preference for a more participatory process of policy making regarding environmental matters. However, the most significant shift has been that from a fragmentary approach to a coordinated nationwide approach to environmental education planning. © 1997, Taylor & Francis Group, LLC.",,,,,,,,,,,"Pace, P.; Department of Mathematics Science and Technical Education, , Msida, MSD 06, Malta",,,,,,,,13504622,,,,English,Environ. Educ. Res.,Article,Final,,Scopus,2-s2.0-42649089412
Lee J.C.K.,57218485358;,Environmental education in schools in Hong Kong,1997,Environmental Education Research,3,3,,359,371,,17,10.1080/1350462970030308,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346351881&doi=10.1080%2f1350462970030308&partnerID=40&md5=ad37e9997caa43a51bfdebdaec50f171,"The Chinese University of Hong Kong, United Kingdom","Lee, J.C.K., The Chinese University of Hong Kong, United Kingdom","SUMMARY: Since 1989 the Hong Kong government has taken an active interest in environmental education. The Guidelines on Environmental Education in Schools was issued in 1992 and both government departments and non-governmental environmental organisations made efforts to promote the implementation of this curriculum change. However, there has developed a gap between the rhetoric of the ‘Guidelines’ and actual practice. Environmental emphasis has been primarily subject based and institutional commitment to environmental education in schools has been unsatisfactory. There are needs for policy reforms, teacher education curriculum and environmental education curriculum reforms and improved curriculum strategies such as resource provision and in-service education. © 1997, Taylor & Francis Group, LLC.",,,,,,,,,,,"Lee, J.C.K.; Department of Curriculum and Instruction, , Shatin, NT, Hong Kong; email: b651792@mailserv.cuhk.hk",,,,,,,,13504622,,,,English,Environ. Educ. Res.,Article,Final,,Scopus,2-s2.0-0346351881
Stimpson P.G.,8899572500;,Environmental challenge and curricular responses in Hong Kong,1997,Environmental Education Research,3,3,,345,357,,8,10.1080/1350462970030307,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0342331344&doi=10.1080%2f1350462970030307&partnerID=40&md5=30e63708eefd860a0f637a59afb93a06,"The University of Hong Kong, Hong Kong","Stimpson, P.G., The University of Hong Kong, Hong Kong","SUMMARY: This paper discusses the changing perceptions of environmental problems and challenges in Hong Kong which have led to environmental education (EE) initiatives. It looks at recent curricular developments in EE and the degree to which they are supported by present practices in teacher education. In the face of considerable air and water pollution problems, the territory has shifted from a largely technocentric, engineering/environmental health approach to solving environmental problems to one which stresses community education as an additional linchpin. Central educational authorities have encouraged a largely cross-curricular programme of EE. However, despite the rhetoric of official guidelines, developments in the schools are fragmentary, with a focus on knowledge acquisition. The situation in teacher education institutions to a large degree parallels that in the schools. The efficacy of teacher education in facilitating change is insufficient and is mainly attributable to the style of teacher education programmes in the territory. © 1997, Taylor & Francis Group, LLC.",,,,,,,,,,,"Stimpson, P.G.; Department of Curriculum Studies, , Pokfulam, Hong Kong",,,,,,,,13504622,,,,English,Environ. Educ. Res.,Article,Final,"All Open Access, Green",Scopus,2-s2.0-0342331344
Ball S.J.,7202536805;,Policy sociology and critical social research: A personal review of recent education policy and policy research,1997,British Educational Research Journal,23,3,,257,274,,291,10.1080/0141192970230302,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031509724&doi=10.1080%2f0141192970230302&partnerID=40&md5=2a7d9b79fd8d40d8b5aeebe94b23053a,"Centre for Public Policy Research, King's College, London, United Kingdom","Ball, S.J., Centre for Public Policy Research, King's College, London, United Kingdom","The paper undertakes two related exercises; one substantive and one meta-analytical. The first concerns changes in public sector provision. It is argued that the public sector has been 'transformed', in Jessop's terms, from a Keynsian Welfare State to a Schumpeterian Workfare State. This transformation involves fundamental changes to forms of provision, patterns of access, forms of work, client-worker relations, inter-institutional relations and values and, ethics. The constitution of citizenship has also been affected. The second concerns the conception of and engagement with social policy by educational researchers. A template for examination of the 'surface epistemology' of education policy research is presented - that is the relationships between conceptualisation, research design and conduct and the interpretation of data. It is argued that there is a basic tension at the heart of education policy research, between a commitment to the pursuit of efficiency and a commitment to the pursuit of social justice.",,,,,,,,,,,"Ball, S.J.; Centre for Public Policy Research, , London, United Kingdom",,,Carfax Publishing Company,,,,,1411926,,,,English,Br. Educ. Res. J.,Review,Final,,Scopus,2-s2.0-0031509724
"Rye J.A., Rubba P.A., Wiesenmayer R.L.",6601971195;7006211986;8879283000;,An investigation of middle school students’ alternative conceptions of global warming,1997,International Journal of Science Education,19,5,,527,551,,105,10.1080/0950069970190503,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0012192843&doi=10.1080%2f0950069970190503&partnerID=40&md5=9922bb029e1b143a3b83e0a70eb3a319,"Department of Curriculum and Instruction, West Virginia University, United States; Science Education, Penn State University, United States; Department of Curriculum & Instruction, West Virginia University, United States","Rye, J.A., Department of Curriculum and Instruction, West Virginia University, United States; Rubba, P.A., Science Education, Penn State University, United States; Wiesenmayer, R.L., Department of Curriculum & Instruction, West Virginia University, United States","Because global warming presents a serious potential threat to our biosphere, it is receiving considerable attention by scientists, policy makers, and educators. This article presents alternative conceptions about global warming held by a sample of 24 grade 6 to 8 students. Students completed interviews on global’ warming approximately two weeks after instruction from a Science-Technology-Society (STS) global warming unit. The majority of students introduced ‘ozone layer’ or ‘ultraviolet radiation’ in response to the question, ‘When you think about global warming, what comes to mind?’ Approximately one-half of the students held the alternative conceptions that ozone layer depletion is a major cause of global warming and that carbon dioxide destroys the ozone layer. These and other alternative conceptions evidenced by the students suggest that global warming instruction should help students clarify that ozone layer depletion and global warming are different environmental problems and that the ozone ‘hole’ does not enhance the greenhouse effect. © 1997, Taylor & Francis Group, LLC. All rights reserved.",,,,,,,"TEP-91 50232

National Science Foundation, NSF

Pennsylvania State University, PSU

West Virginia University, WVU","strove to make a meaningful contribution to the research base on alternative conceptions in science education (Wandersee et al. 1994). This research was conducted as part of a National Science Foundation (NSF) funded Teacher Enhancement Project in STS Education (TEP-91 50232)—Teacher Development and Research in STSEducation for Rural Middle School Science Teachers from Central Pennsylvania and Northern West Virginia—sponsored by Pennsylvania State University and West Virginia University. Global warming was chosen as the STS theme of the project because it is a highly visible STS issue and lends itself to instruction in the science concepts dealt with in life, earth, general, and physical science courses taught at the middle school level. The purpose, activities, and outcomes of this four-year project, which included the publication of an STS 'issue investigation and action' curriculum (Rubba and Wiesenmayer 1985, 1993) on global atmospheric change (Rubba et al. 1995), are described in detail elsewhere (Rubba et al. 1996).",,,,,,,,,,,9500693,,,,English,Int. J. Sci. Educ.,Article,Final,,Scopus,2-s2.0-0012192843
"Clayton M.H., Ratcliffe N.J.",7103072922;7006262116;,Sustainability: a systems approach,1996,Sustainability: a systems approach,,,,,,258,198,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041148053&partnerID=40&md5=61a556cd85982ec4d1fc227dbf611540,,"Clayton, M.H.; Ratcliffe, N.J.","This book introduces complex adaptive systems, a new discipline that is transforming our understanding of the ecological and socio-economic systems that make up our world. It bridges theory and practice, linking an underlying analysis to a coherent rationale and programme for change. It explains why a transition to a more sustainable way of life means abandoning the search for simple solutions and adopting a systems perspective, in which both problems and solutions are multi-dimensional, dynamic and evolving. It explains why macroeconomic policy is the key to the transition, and how an agenda for fundamental regulatory and fiscal reform has to be combined with a new framework for decision-making. -Publisher",,complex adaptive system; conceptual studies; fiscal reform; macroeconomic policy; policy implication; sustainable development; systems approach,,,,,,,,,,,,"Earthscan, London, with Institute for Policy Analysis & Development",,,,,,1853833142; 1853833193; 9781853833144; 9781853833199,,,English,,Article,Final,,Scopus,2-s2.0-85041148053
Adara O.A.,6506534800;,Strategies of environmental education in social studies in Nigeria by the year 2000,1996,Environmental Education Research,2,2,,237,246,,7,10.1080/1350462960020209,https://www.scopus.com/inward/record.uri?eid=2-s2.0-30244507951&doi=10.1080%2f1350462960020209&partnerID=40&md5=8b49c118eba2ceb815229c130780c6ec,"Nigerian Educational Research and Development Council, Nigeria","Adara, O.A., Nigerian Educational Research and Development Council, Nigeria","Summary: This paper focuses on the current position of environmental education and social studies education in Nigeria in the areas of curriculum structure and content. Enabling strategies for environmental education delivery within the social studies programme are discussed, including a social environmental education (SEE) model/tool which provides a visual summary of relationships, causes and consequences, actions and reactions between people and the physical and socio-econo-technosphere. © 1996, Taylor & Francis Group, LLC.",,,,,,,,,,,"Adara, O.A.; NERDC, PMB 91, Garki-Abuja, Nigeria",,,,,,,,13504622,,,,English,Environ. Educ. Res.,Article,Final,,Scopus,2-s2.0-30244507951
Dove J.,7004946317;,"Student teacher understanding of the greenhouse effect, Ozone Layer depletion and acid rain",1996,Environmental Education Research,2,1,,89,100,,113,10.1080/1350462960020108,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0003079447&doi=10.1080%2f1350462960020108&partnerID=40&md5=82f13673b9642b3c55ca1e006797f05e,"University of Exeter, United Kingdom","Dove, J., University of Exeter, United Kingdom","SUMMARY: This paper provides an overview and discussion of a study of student teachers’ knowledge and understanding of the greenhouse effect, ozone layer depletion and acid rain. It describes the results of a small scale survey designed to ascertain details of student knowledge and misconceptions about these environmental issues. The study reveals familiarity with the term ‘greenhouse effect’, but little understanding of the concepts involved. One common misconception is that the greenhouse effect is the result of ozone layer depletion. In contrast, there is a clear understanding that the ozone layer protects the Earth from harmful radiation and that it is currently being destroyed by chlorofluorocarbons (CFCs). Burning coal is linked to the formation of acid rain, but there is little appreciation of why trees in Scandinavia are being destroyed by this process. Recommendations for lecturers and student teachers are made from the findings. © 1996, Taylor & Francis Group, LLC.",,,,,,,,,,,"Dove, J.; School of Education, Heavitree Road, Exeter, EX1 2LU, United Kingdom",,,,,,,,13504622,,,,English,Environ. Educ. Res.,Article,Final,,Scopus,2-s2.0-0003079447
